grnr,bcg_id,mass_log_msun,bcg_pos_x,bcg_pos_y,bcg_pos_z,halfmassrad_gas_ckpc_h,M_approx_msun,R_approx_kpc
105,34944,12.50382565181455,174222.0,273364.0,445043.0,143.195,3.190e+12,235.5
106,34966,12.561660066430214,173101.0,263207.0,462337.0,135.646,3.645e+12,246.2
107,34985,12.647946327832667,183607.0,276368.0,444817.0,61.1825,4.446e+12,263.1
108,35001,12.456302364828208,182615.0,275332.0,447490.0,140.158,2.860e+12,227.1
109,35026,12.48472634230584,171258.0,259123.0,449925.0,114.03,3.053e+12,232.1
110,35052,12.58331894635949,165007.0,252806.0,465439.0,210.941,3.831e+12,250.4
111,35077,13.60384025306239,184666.0,246220.0,453048.0,182.863,4.016e+13,547.9
112,35091,12.263650393097116,177610.0,265825.0,450134.0,0.0,1.835e+12,195.9
113,35131,12.543182396742399,184607.0,269048.0,447724.0,189.473,3.493e+12,242.8
114,35172,12.220886003751238,180948.0,279473.0,439383.0,95.5901,1.663e+12,189.6
115,35194,12.492068418291662,185677.0,268315.0,447226.0,149.672,3.105e+12,233.4
116,35207,12.955053836075772,194229.0,271496.0,441400.0,108.907,9.017e+12,333.0
117,35220,12.556354143449976,189056.0,264357.0,444952.0,154.56,3.600e+12,245.2
118,35240,12.437128652813719,180637.0,282768.0,441213.0,198.757,2.736e+12,223.8
119,35263,12.41507936636365,181242.0,270488.0,447692.0,61.2381,2.601e+12,220.0
120,35279,12.41161672400092,173418.0,278522.0,456392.0,178.006,2.580e+12,219.4
121,35294,12.557419460874149,168001.0,251823.0,450967.0,55.8339,3.609e+12,245.4
122,35306,12.199126716871612,169816.0,247922.0,443395.0,51.946,1.582e+12,186.4
123,35324,12.541689399394343,179789.0,275893.0,444422.0,110.674,3.481e+12,242.5
124,35344,12.588424721359202,168196.0,252907.0,447711.0,197.217,3.876e+12,251.3
125,35358,12.375513768563192,173958.0,265301.0,455874.0,76.5659,2.374e+12,213.4
126,35378,12.568068281361125,187409.0,268294.0,446903.0,208.27,3.699e+12,247.4
127,35406,12.512665808073898,171499.0,265246.0,448367.0,95.1491,3.256e+12,237.1
128,35430,12.562306916167685,179154.0,252150.0,457773.0,181.392,3.650e+12,246.4
129,35442,12.473395371877675,178806.0,274866.0,448113.0,118.101,2.974e+12,230.1
130,35462,12.437868475398458,184531.0,272480.0,446243.0,117.045,2.741e+12,223.9
131,35482,12.527854710177461,181629.0,281033.0,437833.0,164.24,3.372e+12,239.9
132,35493,12.357942720328857,169977.0,263954.0,462697.0,151.838,2.280e+12,210.6
133,35516,12.398808498010604,178455.0,267831.0,458287.0,143.34,2.505e+12,217.3
134,35531,12.504743077454863,169413.0,266396.0,449230.0,121.52,3.197e+12,235.7
135,35547,12.502638355850394,180729.0,258835.0,456359.0,176.058,3.182e+12,235.3
136,35589,12.768797751115317,182839.0,278003.0,441943.0,94.8084,5.872e+12,288.7
137,35592,12.285104635337282,174725.0,264543.0,463746.0,52.4688,1.928e+12,199.1
138,35610,12.44440625541444,176419.0,266218.0,448695.0,0.0,2.782e+12,225.0
139,35620,12.692443333576614,182561.0,246531.0,453520.0,72.485,4.925e+12,272.2
140,35631,12.345795824984055,168708.0,260542.0,445247.0,105.288,2.217e+12,208.6
141,35667,12.15844128924239,171206.0,259636.0,447946.0,97.169,1.440e+12,180.7
142,35682,12.678811555360518,192102.0,267944.0,442034.0,141.956,4.773e+12,269.4
143,35702,12.5136158555998,175630.0,262751.0,440980.0,152.656,3.263e+12,237.3
