subhalo_id,grnr,axis,image_path,aperture_kpc,size_factor,signal_fraction,dynamic_range_dex,asymmetry_score,passed_qc,error
25824,3,z,output/images/halo000003_sub0025824_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25822,3,z,output/images/halo000003_sub0025822_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25825,3,z,output/images/halo000003_sub0025825_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25826,3,z,output/images/halo000003_sub0025826_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25827,3,z,output/images/halo000003_sub0025827_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25828,3,z,output/images/halo000003_sub0025828_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25829,3,z,output/images/halo000003_sub0025829_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25831,3,z,output/images/halo000003_sub0025831_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25832,3,z,output/images/halo000003_sub0025832_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25833,3,z,output/images/halo000003_sub0025833_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25834,3,z,output/images/halo000003_sub0025834_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25836,3,z,output/images/halo000003_sub0025836_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25837,3,z,output/images/halo000003_sub0025837_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25838,3,z,output/images/halo000003_sub0025838_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25839,3,z,output/images/halo000003_sub0025839_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25840,3,z,output/images/halo000003_sub0025840_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25841,3,z,output/images/halo000003_sub0025841_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25842,3,z,output/images/halo000003_sub0025842_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25844,3,z,output/images/halo000003_sub0025844_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25845,3,z,output/images/halo000003_sub0025845_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25847,3,z,output/images/halo000003_sub0025847_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25849,3,z,output/images/halo000003_sub0025849_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25852,3,z,output/images/halo000003_sub0025852_z.png,200.0,0.33102,1.0,0.616,0.0343,True,
25851,3,z,output/images/halo000003_sub0025851_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25853,3,z,output/images/halo000003_sub0025853_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25855,3,z,output/images/halo000003_sub0025855_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25856,3,z,output/images/halo000003_sub0025856_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25857,3,z,output/images/halo000003_sub0025857_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25858,3,z,output/images/halo000003_sub0025858_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25860,3,z,output/images/halo000003_sub0025860_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25861,3,z,output/images/halo000003_sub0025861_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25862,3,z,output/images/halo000003_sub0025862_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25863,3,z,output/images/halo000003_sub0025863_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25870,3,z,output/images/halo000003_sub0025870_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25872,3,z,output/images/halo000003_sub0025872_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25873,3,z,output/images/halo000003_sub0025873_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25877,3,z,output/images/halo000003_sub0025877_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25874,3,z,output/images/halo000003_sub0025874_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25880,3,z,output/images/halo000003_sub0025880_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25881,3,z,output/images/halo000003_sub0025881_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25882,3,z,output/images/halo000003_sub0025882_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25883,3,z,output/images/halo000003_sub0025883_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25885,3,z,output/images/halo000003_sub0025885_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25886,3,z,output/images/halo000003_sub0025886_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25889,3,z,output/images/halo000003_sub0025889_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25888,3,z,output/images/halo000003_sub0025888_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25890,3,z,output/images/halo000003_sub0025890_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25891,3,z,output/images/halo000003_sub0025891_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25892,3,z,output/images/halo000003_sub0025892_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25894,3,z,output/images/halo000003_sub0025894_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25896,3,z,output/images/halo000003_sub0025896_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25897,3,z,output/images/halo000003_sub0025897_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25898,3,z,output/images/halo000003_sub0025898_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25899,3,z,output/images/halo000003_sub0025899_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25901,3,z,output/images/halo000003_sub0025901_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25905,3,z,output/images/halo000003_sub0025905_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25909,3,z,output/images/halo000003_sub0025909_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25910,3,z,output/images/halo000003_sub0025910_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25911,3,z,output/images/halo000003_sub0025911_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25912,3,z,output/images/halo000003_sub0025912_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25914,3,z,output/images/halo000003_sub0025914_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25918,3,z,output/images/halo000003_sub0025918_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25922,3,z,output/images/halo000003_sub0025922_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25925,3,z,output/images/halo000003_sub0025925_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25926,3,z,output/images/halo000003_sub0025926_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25927,3,z,output/images/halo000003_sub0025927_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25929,3,z,output/images/halo000003_sub0025929_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25931,3,z,output/images/halo000003_sub0025931_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25933,3,z,output/images/halo000003_sub0025933_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25938,3,z,output/images/halo000003_sub0025938_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25942,3,z,output/images/halo000003_sub0025942_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25944,3,z,output/images/halo000003_sub0025944_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25952,3,z,output/images/halo000003_sub0025952_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25951,3,z,output/images/halo000003_sub0025951_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25955,3,z,output/images/halo000003_sub0025955_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25959,3,z,output/images/halo000003_sub0025959_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25986,3,z,output/images/halo000003_sub0025986_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25962,3,z,output/images/halo000003_sub0025962_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
26831,4,z,output/images/halo000004_sub0026831_z.png,200.0,0.24495,1.0,0.925,0.035,True,
25988,3,z,output/images/halo000003_sub0025988_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
26834,4,z,output/images/halo000004_sub0026834_z.png,200.0,0.24495,1.0,0.597,0.0588,True,
26833,4,z,output/images/halo000004_sub0026833_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26832,4,z,output/images/halo000004_sub0026832_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26835,4,z,output/images/halo000004_sub0026835_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26836,4,z,output/images/halo000004_sub0026836_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26837,4,z,output/images/halo000004_sub0026837_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26838,4,z,output/images/halo000004_sub0026838_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26839,4,z,output/images/halo000004_sub0026839_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26840,4,z,output/images/halo000004_sub0026840_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26842,4,z,output/images/halo000004_sub0026842_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26841,4,z,output/images/halo000004_sub0026841_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26843,4,z,output/images/halo000004_sub0026843_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26845,4,z,output/images/halo000004_sub0026845_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26844,4,z,output/images/halo000004_sub0026844_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26846,4,z,output/images/halo000004_sub0026846_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26847,4,z,output/images/halo000004_sub0026847_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26848,4,z,output/images/halo000004_sub0026848_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26849,4,z,output/images/halo000004_sub0026849_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26850,4,z,output/images/halo000004_sub0026850_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26851,4,z,output/images/halo000004_sub0026851_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26852,4,z,output/images/halo000004_sub0026852_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26853,4,z,output/images/halo000004_sub0026853_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26854,4,z,output/images/halo000004_sub0026854_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26855,4,z,output/images/halo000004_sub0026855_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26856,4,z,output/images/halo000004_sub0026856_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26857,4,z,output/images/halo000004_sub0026857_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26858,4,z,output/images/halo000004_sub0026858_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26859,4,z,output/images/halo000004_sub0026859_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26860,4,z,output/images/halo000004_sub0026860_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26863,4,z,output/images/halo000004_sub0026863_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26864,4,z,output/images/halo000004_sub0026864_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26865,4,z,output/images/halo000004_sub0026865_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26866,4,z,output/images/halo000004_sub0026866_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26867,4,z,output/images/halo000004_sub0026867_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26868,4,z,output/images/halo000004_sub0026868_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26869,4,z,output/images/halo000004_sub0026869_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26870,4,z,output/images/halo000004_sub0026870_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26871,4,z,output/images/halo000004_sub0026871_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26872,4,z,output/images/halo000004_sub0026872_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26874,4,z,output/images/halo000004_sub0026874_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26873,4,z,output/images/halo000004_sub0026873_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26875,4,z,output/images/halo000004_sub0026875_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26876,4,z,output/images/halo000004_sub0026876_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26878,4,z,output/images/halo000004_sub0026878_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26877,4,z,output/images/halo000004_sub0026877_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26880,4,z,output/images/halo000004_sub0026880_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26881,4,z,output/images/halo000004_sub0026881_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26882,4,z,output/images/halo000004_sub0026882_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26883,4,z,output/images/halo000004_sub0026883_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26884,4,z,output/images/halo000004_sub0026884_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26888,4,z,output/images/halo000004_sub0026888_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26887,4,z,output/images/halo000004_sub0026887_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26889,4,z,output/images/halo000004_sub0026889_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26893,4,z,output/images/halo000004_sub0026893_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26894,4,z,output/images/halo000004_sub0026894_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26896,4,z,output/images/halo000004_sub0026896_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26897,4,z,output/images/halo000004_sub0026897_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26898,4,z,output/images/halo000004_sub0026898_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26901,4,z,output/images/halo000004_sub0026901_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26911,4,z,output/images/halo000004_sub0026911_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26903,4,z,output/images/halo000004_sub0026903_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26925,4,z,output/images/halo000004_sub0026925_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26934,4,z,output/images/halo000004_sub0026934_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26931,4,z,output/images/halo000004_sub0026931_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26936,4,z,output/images/halo000004_sub0026936_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26939,4,z,output/images/halo000004_sub0026939_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26950,4,z,output/images/halo000004_sub0026950_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26963,4,z,output/images/halo000004_sub0026963_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26956,4,z,output/images/halo000004_sub0026956_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26981,4,z,output/images/halo000004_sub0026981_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26987,4,z,output/images/halo000004_sub0026987_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26992,4,z,output/images/halo000004_sub0026992_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26993,4,z,output/images/halo000004_sub0026993_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26986,4,z,output/images/halo000004_sub0026986_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27045,4,z,output/images/halo000004_sub0027045_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27038,4,z,output/images/halo000004_sub0027038_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27035,4,z,output/images/halo000004_sub0027035_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
26999,4,z,output/images/halo000004_sub0026999_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27054,4,z,output/images/halo000004_sub0027054_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27058,4,z,output/images/halo000004_sub0027058_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27066,4,z,output/images/halo000004_sub0027066_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27059,4,z,output/images/halo000004_sub0027059_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27162,5,z,output/images/halo000005_sub0027162_z.png,200.0,0.2952,1.0,0.932,0.1768,True,
27161,5,z,output/images/halo000005_sub0027161_z.png,200.0,0.2952,1.0,0.597,0.1462,True,
27073,4,z,output/images/halo000004_sub0027073_z.png,200.0,0.24495,1.0,0.115,0.0003,True,
27163,5,z,output/images/halo000005_sub0027163_z.png,200.0,0.2952,1.0,0.616,0.1065,True,
27166,5,z,output/images/halo000005_sub0027166_z.png,200.0,0.2952,1.0,0.932,0.0794,True,
27164,5,z,output/images/halo000005_sub0027164_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27165,5,z,output/images/halo000005_sub0027165_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27168,5,z,output/images/halo000005_sub0027168_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27170,5,z,output/images/halo000005_sub0027170_z.png,200.0,0.2952,1.0,0.599,0.0963,True,
27169,5,z,output/images/halo000005_sub0027169_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
27171,5,z,output/images/halo000005_sub0027171_z.png,200.0,0.2952,1.0,0.116,0.0003,True,
