subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
329,0,2198.3,0.224391,0.661439,174422.0,265772.0,450866.0,2.242,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/329/cutout.hdf5,1.2306
333,0,2198.3,0.297932,0.341467,176569.0,265426.0,450116.0,5.022,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/333/cutout.hdf5,0.5661
334,0,2198.3,0.25311,0.452514,174961.0,262091.0,455052.0,7.833,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/334/cutout.hdf5,0.1488
336,0,2198.3,0.739485,0.280665,176280.0,262137.0,453116.0,10.512,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/336/cutout.hdf5,0.2651
338,0,2198.3,0.997551,0.152285,177088.0,265104.0,453521.0,13.662,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/338/cutout.hdf5,0.5026
339,0,2198.3,0.656307,0.954859,174653.0,260352.0,453330.0,5.067,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/339/cutout.hdf5,2.2785
340,0,2198.3,0.019013,0.538114,174996.0,265406.0,452156.0,3.545,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/340/cutout.hdf5,0.0036
341,0,2198.3,0.004467,0.947128,173016.0,260003.0,453660.0,11.553,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/341/cutout.hdf5,0.0
343,0,2198.3,0.404848,0.393573,175152.0,259125.0,455445.0,10.382,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/343/cutout.hdf5,0.318
349,0,2198.3,1.21976,0.384868,176040.0,263320.0,453749.0,10.26,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/349/cutout.hdf5,1.0058
351,0,2198.3,0.473159,0.44707,174195.0,262963.0,451653.0,7.641,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/351/cutout.hdf5,0.2931
352,0,2198.3,0.175922,0.306982,175682.0,262557.0,453707.0,2.242,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/352/cutout.hdf5,0.7579
358,0,2198.3,0.357404,2.06227,172487.0,258283.0,454117.0,22.007,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/358/cutout.hdf5,0.0
364,0,2198.3,0.702229,0.128397,172018.0,257673.0,454510.0,10.848,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/364/cutout.hdf5,0.2049
370,0,2198.3,0.098525,0.444831,175680.0,266036.0,449679.0,2.168,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/370/cutout.hdf5,0.4335
377,0,2198.3,0.596747,0.360142,175321.0,263582.0,451726.0,6.309,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/377/cutout.hdf5,1.0137
388,0,2198.3,0.31888,0.451557,174407.0,260356.0,452690.0,7.145,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/388/cutout.hdf5,0.1868
398,0,2198.3,0.989071,0.180199,175662.0,259087.0,455830.0,13.921,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/398/cutout.hdf5,0.2928
399,0,2198.3,0.018866,0.647445,174557.0,264244.0,451931.0,18.943,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/399/cutout.hdf5,0.0
409,0,2198.3,0.338978,0.476643,172355.0,258375.0,455149.0,19.456,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/409/cutout.hdf5,0.1154
411,0,2198.3,0.090262,0.764072,174930.0,266668.0,451021.0,2.494,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/411/cutout.hdf5,0.1584
416,0,2198.3,1.46712,0.240797,174963.0,262619.0,454212.0,13.367,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/416/cutout.hdf5,0.8473
420,0,2198.3,0.613043,0.306912,174846.0,258323.0,452928.0,9.572,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/420/cutout.hdf5,0.3308
425,0,2198.3,0.115077,0.389732,175799.0,259322.0,454589.0,3.911,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/425/cutout.hdf5,0.094
